electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,stove_heating,grill_heating,oven_heating,fridge,freezer,combi_fridge_freezer,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
30.051305220883535,0.0,0.0,17.936144578313254,5.513152610441767,13.306726907630523,22.435843373493977,0.0,10.756726907630522,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,4th
11.22984714026855,5.812386749059146,0.0,0.0,0.0,0.0,0.0,0.0,82.9577661106723,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,5th
22.75868154969682,8.881458704297827,0.0,8.555807440992131,0.6530282469035087,1.0471984499894105,11.650612238494544,44.22668120455276,2.2266106069044502,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,6th
30.231540402348895,14.376437359055084,0.0,4.091421617880188,0.8977493469087012,1.0471788688681984,8.105030477593944,40.250686583160295,1.000011163953826,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,7th
24.55941368784766,12.034015608133585,0.0,7.070091985724394,0.859945149444522,1.5707814912946694,10.164861556578195,42.74087502646979,1.0000154945071973,100.0,PT.01,4,PA.01,OWN.01,2,OT.04,other,electric,electric,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,8th
26.637786258267642,0.0,0.0,19.680045140245266,2.995682963230065,21.443118950556073,21.36215364377268,0.0,7.881112880662146,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2th
27.20334452512212,0.0,0.0,18.870572195523472,3.336774784814996,19.35338426681526,22.352397088814904,0.0,8.883385709396293,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3th
26.557811147266918,0.0,0.0,19.699435770367494,4.667253783920948,14.74209630713198,23.901125473923035,0.0,10.43212825029107,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4th
28.637665257610013,9.40185386613222,0.0,17.376871386847885,3.398035777142839,10.059459442317998,22.29849591394712,0.0,8.827459797489068,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5th
25.945123970923895,9.819840165736208,0.0,17.52142465687426,6.0149234855191605,7.843893596391382,23.162929772895627,0.0,9.691894463615723,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6th
30.36264254598929,9.656841436758752,0.0,16.373605369193726,4.731956506324587,7.23598740940102,22.555022212356914,0.0,9.083975349062332,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7th
19.91905224697676,5.666465732527957,0.0,19.443863512410758,5.42460664066825,12.846334592247224,25.08535600198474,0.0,11.614321273184315,100.0,PT.02,4,PA.03,OWN.01,3,OT.03,electric,electric,electric,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,8th
18.58972124975578,10.752715425517872,0.0,7.285313732634213,6.03476589520596,23.094502616418755,32.58869685976946,0.0,1.6544426315205856,100.0,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2th
23.016412485910795,13.395440848342652,0.0,5.538495157914108,6.665344006624801,18.485036689439422,31.89916729924321,0.0,0.9999884986083316,100.0,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3th
24.90050554651094,15.774171648529824,0.0,6.398228280285004,5.570041590593011,11.927667960742697,33.18191105808841,0.0,2.2476716518254376,100.0,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4th
40.20295052571522,19.27439074089168,0.0,0.0,0.0,0.0,0.0,0.0,40.52286249898117,100.0,PT.05,4,PA.03,OWN.01,2,OT.02,other,electric,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5th
19.772243799225507,6.82778129473426,0.0,12.203363731243691,7.720841103906103,20.519559030688768,28.427948968010902,0.0,4.5283476197808845,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2th
22.82900707727058,7.338407602803749,0.0,9.950117350968796,12.578507458632938,16.367868693658522,27.41780339808572,0.0,3.518288418579703,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3th
22.69509047088905,8.528878503529528,0.0,11.164658241475916,11.455070407027245,11.796498611433954,29.129546483318858,0.0,5.230086005456392,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4th
19.927959338905477,9.389665891374028,0.0,11.900009233163765,12.061897371186374,9.887531271846324,30.36237969407451,0.0,6.470711085512288,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5th
26.083015061280857,11.940515492836182,0.0,9.737074918004488,13.665496072846539,5.080242318315208,28.69654108406698,0.0,4.797034136026238,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6th
24.836660914555818,13.849503321620485,0.0,9.935683651785688,11.089563048201496,5.651791648411911,29.268200364201007,0.0,5.368597051223591,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,7th
9.982810874383679,6.256486310089242,0.0,16.154547040691707,7.8055431699073985,13.463996536326567,35.11395873317437,0.0,11.222495783494564,100.0,PT.02,3,PA.02,OWN.01,5,OT.04,electric,electric,electric,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,8th
14.861639796270056,10.856508252594493,0.0,7.720522345192049,11.324168038907825,17.948607973040247,34.33148240340061,0.0,2.95699460039061,100.0,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2th
15.338948622809632,9.645315927741516,0.0,7.760691168106599,11.960404084175174,15.96847493432278,35.35010697938954,0.0,3.9757332827776724,100.0,PT.04,3,PA.03,OWN.01,3,OT.04,other,other,electric,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3th
