electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,month,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
14.665173620821001,8.477334310482822,0.0,0.0,11.706170506157006,5.710659286616589,24.17215509676673,27.315024637667186,0.0,0.0,7.95362718532733,100.0,10th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
14.665173620821001,8.477334310482822,0.0,0.0,11.706170506157006,5.710659286616589,24.17215509676673,27.315024637667186,0.0,0.0,7.95362718532733,100.0,11th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
14.952228390962757,5.244813808242685,0.0,0.0,10.646234520150331,12.652299814481404,25.311308419532168,25.278905417462482,0.0,0.0,5.9142096291681785,100.0,12th,PT.04,3,PA.02,OWN.01,4,OT.05,other,other,other,electric,electric,SOL.02,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0
29.51554571026439,12.37602909431623,0.0,0.0,6.600823477384663,4.063854835355006,19.761639846774244,26.68183846677315,0.0,0.0,1.0000060579503531,100.0,1th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
31.20798388734848,14.537458733355683,0.0,0.0,6.021565110138194,2.919610496717022,16.863930811530427,27.44950724751176,0.0,0.0,1.0000171307048304,100.0,2th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
33.66079140446291,16.86245337281813,0.0,0.0,4.164151409018859,1.6261615269986807,3.265587478762683,39.4207314179409,0.0,0.0,1.000147118843551,100.0,3th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
39.106635175302216,20.54790835081656,0.0,0.0,3.8786892624967337,0.8293387072156788,2.214372375899276,32.422825892937986,0.0,0.0,1.0001784970547984,100.0,4th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
36.05409868800968,16.429319286959434,0.0,0.0,3.8404455694016444,4.88307581048189,1.6947935949398512,36.08782941427269,0.0,0.0,1.0104646205158374,100.0,5th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
29.931387468945513,18.411766236131164,0.0,0.0,3.675160312691042,4.575870501164136,1.1671284192453273,41.11841677397536,0.0,0.0,1.1201727344857637,100.0,6th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
36.91705233179067,17.819080205160663,0.0,0.0,3.434199596534947,4.396813153488126,1.0472621072478672,35.385269570032825,0.0,0.0,1.0001252587582241,100.0,7th,PT.02,4,PA.02,OWN.01,5,OT.04,other,other,other,electric,electric,SOL.02,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
