Id,eui64,appliance_type,usage_in_kwh,usage_frequency,score,household_id,period_first,period_last,snapshot_taken_at,calculated_until,seconds_of_data_missing,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,swimming_pool,sauna
66,9574384526952513951,AlwaysOn,26.7926,4,66,128,2016-07-01,2016-07-31,1468333799,1470002400,1209600,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
67,9574384526952513951,AlwaysOn,14.4108,1,68,128,2016-08-01,2016-08-31,1470103403,1470866400,3608,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.06,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
68,9574384526952513951,DishWasher,8.3434,10,82,128,2016-02-01,2016-02-29,1468333799,1456786800,259200,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
69,9574384526952513951,DishWasher,8.3737,10,85,128,2016-03-01,2016-03-31,1468333799,1459461600,86900,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
70,9574384526952513951,DishWasher,7.9329,10,85,128,2016-04-01,2016-04-30,1468333799,1462053600,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
71,9574384526952513951,DishWasher,8.0183,11,86,128,2016-05-01,2016-05-31,1468333799,1464732000,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
72,9574384526952513951,DishWasher,5.0005,7,91,128,2016-06-01,2016-06-30,1468333799,1467324000,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
73,9574384526952513951,DishWasher,2.31651,3,93,128,2016-07-01,2016-07-31,1468333799,1470002400,1209600,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
74,9574384526952513951,DishWasher,1.67875,2,91,128,2016-08-01,2016-08-31,1470103403,1470866400,3608,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.06,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
75,9574384526952513951,Hob,0,0,100,128,2016-02-01,2016-02-29,1468333799,1456786800,259200,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
76,9574384526952513951,Hob,0,0,100,128,2016-03-01,2016-03-31,1468333799,1459461600,86900,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
77,9574384526952513951,Hob,0,0,100,128,2016-04-01,2016-04-30,1468333799,1462053600,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
78,9574384526952513951,Hob,0,0,100,128,2016-05-01,2016-05-31,1468333799,1464732000,0,PT.04,PS.04,PA.03,OWN.01,OCC.05,OT.04,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,1,2,0,1,1,1,1,1,1,1,1,0,0,2,1,1,0,3,2,0,0,0,0
