,electricity_always_on,electricity_refrigeration,electricity_space_heating,electricity_water_heating,electricity_cooking,electricity_laundry,electricity_lighting,electricity_entertainment,electricity_electric_vehicle,electricity_pool_or_sauna,electricity_other,electricity_total,property_type,property_size,property_age,property_ownership,occupants,occupant_type,space_heating,water_heating,stove_heating,grill_heating,oven_heating,photo_voltaic,fridge,freezer,combi_fridge_freezer,oven,grill,hob,microwave,kettle,toaster,dishwasher,washing_machine,tumble_dryer,iron,tv,dvd_or_blueray,digital_tv_box,games_console,computer,tablet,electric_shower,ev_charger,month
513,37.4142,5.2236,0.0,0.0,75.2881,42.4144,64.8992,98.3597,0.0,0,63.3822,386.981,PT.01,PS.04,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,5
514,20.0876,14.5418,0.0,0.0,34.7169,32.0002,20.6414,42.3359,0.0,0,25.2052,189.529,PT.01,PS.04,PA.02,OWN.01,OCC.02,OT.06,SH.01,WH.01,STH.02,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,6
515,21.1845,0.0,0.0,0.0,14.3922,14.2289,24.0726,37.7188,0.0,0,7.841,119.438,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2
516,23.3062,0.0,0.0,0.0,16.3783,16.1489,24.9773,44.2407,0.0,0,10.3657,135.417,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3
517,22.2294,0.0,0.0,0.0,14.88,10.4088,16.1949,38.5141,0.0,0,10.3521,112.579,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4
518,22.221,14.6551,0.0,0.0,49.0374,24.1681,35.5849,112.531,0.0,0,38.3441,296.541,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5
519,37.7777,26.644,0.0,0.0,19.3201,23.3223,12.3349,61.7235,0.0,0,13.1274,194.25,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6
520,50.5871,45.9658,0.0,0.0,14.2186,2.8475,8.1134,55.4024,0.0,0,8.8573,185.992,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,7
521,72.3727,57.7976,0.0,0.0,4.7718,2.948,2.0756,31.2706,0.0,0,1.7297,172.96599999999995,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8
522,1.4367,1.9696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.4687,11.875,PT.06,PS.02,PA.04,OWN.02,OCC.02,OT.02,SH.01,WH.01,STH.01,GH.02,OH.02,SOL.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,9
523,37.5027,16.9911,0.0,0.0,3.8753,0.7743,15.709,4.2438,0.0,0,7.3796,86.4758,PT.05,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2
524,100.57,50.1844,0.0,0.0,10.9839,2.4705,38.2669,12.8442,0.0,0,21.4293,236.749,PT.05,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3
525,45.8176,43.1669,0.0,0.0,8.9302,10.6191,28.8719,18.5535,0.0,0,25.1199,181.079,PT.05,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4
526,41.8176,53.9868,0.0,0.0,9.553,14.1121,29.3931,22.9689,0.0,0,30.2987,202.13,PT.05,PS.03,PA.03,OWN.02,OCC.03,OT.02,SH.01,WH.01,STH.01,GH.01,OH.01,SOL.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,5
